molecule,logp,dataset_type
C#CCCCCCCCCCCCCCC,7.43,train
C#CCCCCCCCCCCCCCCCC,8.41,train
C#CCCCCCCCCCCCCCCCCCC,9.39,train
C#CCCCCCCCF,3.93,train
C#CCCCCCCF,3.44,train
C#CCCCCCF,2.95,train
C#CCCCCF,2.46,train
C#CCCCCl,1.85,validation
C#CCCCO,0.56,train
C#CCCCl,1.79,train
C#CCCNC1=NC(=O)C(c2ccccc2)O1,0.26,train
C#CCCOC(=O)Nc1ccc(OCC)c(OCC)c1,2.54,test
C#CCCOCn1ccnc1C=NO,0.67,test
C#CCCOCn1ccnc1CN=O,0.67,train
C#CCI,1.8,validation
C#CCN(C)C1CCCc2c(OC)ccc(Cl)c21,4.03,validation
C#CCN(C)C1CCc2ccccc21,2.81,test
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,3.76,validation
C#CCN(C)Cc1ccccc1,1.96,test
C#CCN(C)N=Nc1[nH]cnc1C(N)=O,0.33,train
C#CCN(C)N=Nc1nc[nH]c1C(N)=O,0.33,validation
C#CCN(C)NN=C1N=CN=C1C(N)=O,0.33,test
C#CCN(C)c1ccccc1OC(=O)NC,1.3,train
C#CCN(CC)C1CCCc2c(OC)ccc(Cl)c21,4.52,test
C#CCN(CC)CC,1.23,train
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)NCc2cccc([N+](=O)[O-])c2)cc1,3.7,validation
C#CCN(N=O)C(=O)NCCCC(NC(C)=O)C(=O)NCc1ccccc1,1.12,validation
C#CCN(N=O)C(=O)NCCCCC(NC(C)=O)C(=O)NCc1ccccc1,1.64,train
C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,2.8,train
C#CCN(c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,3.2,train
C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,2.91,train
C#CCN1C(=O)COc2cc(F)c(-n3c(O)c4c(c3O)CCC=C4)cc21,2.55,train
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,2.55,train
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=CCCCC4=C3O)cc21,2.55,train
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=CCCCC4C3=O)cc21,2.55,test
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4C=CCCC4=C3O)cc21,2.55,test
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4C=CCCC4C3=O)cc21,2.55,train
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4CCC=CC4=C3O)cc21,2.55,validation
C#CCN1C(=O)Cc2ccccc2S1(=O)=O,0.68,train
C#CCN1C(=O)c2ccccc2CS1(=O)=O,1.13,train
C#CCN1CC(=O)N(COC(=O)C2C(C=C(C)C)C2(C)C)C1=O,2.9,train
C#CCN1CCC2(C)c3cc(O)ccc3CC1C2C,3.43,train
C#CCN1CCC23CCCCC2C1Cc1ccc(O)cc13,3.62,train
C#CCN1CCC23CCCCC2C1Cc1ccc(OC)cc13,4.18,train
C#CCN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,2.99,train
C#CCN=C(O)NCCCC(N=C(C)O)=C(O)NCc1ccccc1,-0.31,validation
C#CCN=C(O)NCCCC(N=C(C)O)C(=O)NCc1ccccc1,-0.31,test
C#CCN=C(O)NCCCC(N=C(C)O)C(O)=NCc1ccccc1,-0.31,validation
C#CCN=C(O)NCCCC(NC(=C)O)=C(O)NCc1ccccc1,-0.31,train
C#CCN=C(O)NCCCC(NC(=C)O)C(=O)NCc1ccccc1,-0.31,train
C#CCN=C(O)NCCCC(NC(=C)O)C(O)=NCc1ccccc1,-0.31,train
C#CCN=C(O)NCCCC(NC(C)=O)=C(O)NCc1ccccc1,-0.31,train
C#CCN=C(O)NCCCC(NC(C)=O)C(=O)NCc1ccccc1,-0.31,train
C#CCN=C(O)NCCCC(NC(C)=O)C(O)=NCc1ccccc1,-0.31,train
C#CCN=C(O)NCCCCC(N=C(C)O)=C(O)NCc1ccccc1,0.23,test
C#CCN=C(O)NCCCCC(N=C(C)O)C(=O)NCc1ccccc1,0.23,train
C#CCN=C(O)NCCCCC(N=C(C)O)C(O)=NCc1ccccc1,0.23,validation
C#CCN=C(O)NCCCCC(NC(=C)O)=C(O)NCc1ccccc1,0.23,test
C#CCN=C(O)NCCCCC(NC(=C)O)C(=O)NCc1ccccc1,0.23,train
C#CCN=C(O)NCCCCC(NC(=C)O)C(O)=NCc1ccccc1,0.23,train
C#CCN=C(O)NCCCCC(NC(C)=O)=C(O)NCc1ccccc1,0.23,train
C#CCN=C(O)NCCCCC(NC(C)=O)C(=O)NCc1ccccc1,0.23,validation
C#CCN=C(O)NCCCCC(NC(C)=O)C(O)=NCc1ccccc1,0.23,train
C#CCNC(=O)C(C)=C(C)c1ccccc1,2.59,train
C#CCNC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,2.0,train
C#CCNC(=O)NCCCC(N=C(C)O)=C(O)NCc1ccccc1,-0.31,train
C#CCNC(=O)NCCCC(N=C(C)O)C(=O)NCc1ccccc1,-0.31,validation
C#CCNC(=O)NCCCC(N=C(C)O)C(O)=NCc1ccccc1,-0.31,test
